ID,Name,Country,Club,Birth,Current
1,Samuel Eto'o,Cameroon,Qatar Sports Club (UAE),3/10/1981,still playing
2,George Weah,Liberia,Al-Jazira (UAE),10/1/1966,retired
3,Didier Drogba,Cote d’Ivoire,Pheonix Rising F.C (USA),3/11/1978,retired
4,Roger Milla,Cameroon,Samarinda (Indonesia),5/20/1952,retired
5,Hossam Hassan,Egypt,Al Ittehad (Egypt),8/10/1966,retired
6,Essam El-Hadary,Egypt,Nogoom F.C. (Egypt),1/15/1973,still playing
7,Kanu,Nigeria,Portsmouth F.C. (England),8/1/1976,retired
8,Abedi Pele,Ghana,"	Al-Ain FC (UAE)",11/5/1964,retired
9,Mohamed Aboutrika,Egypt,Al Ahly SC (Egypt),11/7/1978,still playing
10,Wael Gomaa,Egypt,Al Ahly SC (Egypt),8/30/1975,retired
11,Sammy Kuffour,Ghana,F.C. Bayern Munich (Germany),9/3/1976,retired
12,Michael Essien,Ghana,Persib Bandung (Indonesia),12/3/1982,dropped from Bandung
13,Jay-Jay Okocha,Nigeria,Hull City (England),8/14/1973,retired
14,Yaya Toure,Cote d’Ivoire,Olympiacos (Greece),5/13/1983,still playing
15,Thomas N'Kono,Cameroon,Espanyol (Spain),7/20/1956,retired
16,Doctor Khumalo,South Africa,Kaizer Chiefs F.C. (South Africa),6/26/1967,retired
17,Geremi,Cameroon,Chelsea FC (England),12/20/1978,still playing
18,Rabah Madjer,Algeria,FC Porto (Portugal),12/15/1958,still playing
19,"Patrick ""Ace"" Ntsoelengoe",South Africa,Toronto Blizzards (Canada),2/26/1952,deceased
20,Mohamed Barakat,Egypt,Al Ahly SC (Egypt),9/7/1976,retired
